course_name,key
ALGEBRA,1120
CALCULO Y GEOMETRIA ANALITICA,1121
REDACCION Y EXPOSIC TEMAS INGENIERIA,1124
PROGRAMACION BASICA,1127
REPRESENTACIONES GRAFICAS,1128
IGUALDAD DE GENERO EN INGENIERIA,8000
ALGEBRA LINEAL,1220
CALCULO INTEGRAL,1221
CULTURA Y COMUNICACION,1222
ESTATICA,1223
GEOMATICA BASICA,1229
GEOLOGIA,1506
ESTRUCTURAS ISOSTATICAS,0275
CALCULO VECTORIAL,1321
CINEMATICA Y DINAMICA,1322
ECUACIONES DIFERENCIALES,1325
SISTEMAS TERMODIN-ELECTROMAGNETISMO,1333
RECURSOS DE LA CONSTRUCCION,1407
MECANICA DE MATERIALES I,0465
ANALISIS NUMERICO,1433
PROBABILIDAD,1436
PROCEDIM.CONSTRUC.ELEMENT.ESTRUCTUR.,1444
SISTEMAS QUIMICOS EN INGENIERIA,1450
FUNDAMENTOS DE MECANICA MEDIO CONTIN,1555
INGENIERIA DE SISTEMAS I,0387
MECANICA DE MATERIALES II,0466
HIDRAULICA BASICA,1402
INTRODUCCION A LA ECONOMIA,1413
INGENIERIA AMBIENTAL I,1595
PROGRAMACION Y PRESUPUESTACION,1596
ETICA PROFESIONAL,1052
COMPORTAMIENTO DE SUELOS,1601
HIDRAULICA MAQ.-TRANSITORIOS,1730
INGENIERIA DE SISTEMAS II,1731
ESTADISTICA APLICADA A ING. CIVIL,2600
INGENIERIA AMBIENTAL II,2601
ABAST DE AGUA POTABLE,0032
PLANEACION,0642
HIDRAULICA DE CANALES,1507
MOVIMIENTO DE TIERRAS,1608
ANALISIS ESTRUCTURAL,1703
MECANICA DE SUELOS,1714
CIMENTACIONES,0152
EDIFICACION,0234
HIDROLOGIA,0379
ALCANTARILLADO SANITARIO-PLUVIAL,2800
DIMENSIONAM.ELEMENTOS ESTRUCTURALES,2801
INGENIERIA DE TRANSITO,2803
DISEÑO ESTRUCTURAL,0230
OBRAS HIDRAULICAS,0610
TRATAMIENTO AGUAS RESIDUALES,1935
RECURSOS Y NECESIDADES DE MEXICO,2080
EVALUACION DE PROYECTOS,2156
INGENIERIA DEL TRANSPORTE I,2913
ADMINISTRACION EN INGENIERIA,1760
INGENIERIA DEL TRANSPORTE II,2915
INTEGRACION DE PROYECTOS,2916
LITERATURA HISPANOAMERICANA CONTEMPO,1055
"CIENCIA, TECNOLOGIA Y SOCIEDAD",1789
INTRODUCCION ANALIS ECON EMPRESARIAL,1790
MEXICO NACION MULTICULTURAL,1791
SEM. SOCIOHUMANISTICO: HIST PROSP IN,1792
SEM. SOCIOHUMANISTICO: ING Y POL PUB,1793
SEM. SOCIOHUMANISTICO: ING SUSTENTAB,1794
TALLER SOCIOHUMANISTICO: CREATIVIDAD,1795
TALLER SOCIOHUMANISTICO: LIDERAZGO,1796
GEOLOGIA GENERAL,0424
INTRODUC.INGENIER.MINAS Y METALURGIA,1131
MINERALOGIA,0487
FUNDAMENTOS DE PROGRAMACION,1122
QUIMICA DE CIENCIAS DE LA TIERRA,1125
DIBUJO,0054
PETROLOGIA,1137
FUNDAM TERMODINAMICA ELECTROMAGNET,1330
GEOMETRIA DESCRIPTIVA APLICADA,1067
MECANICA,1228
FISICOQUIMICA,1625
ANALISIS QUIMICO,1455
LEGISLACION MINERA,1456
METODOS MEDICION MINERO-CARTOGRAFICO,1457
ESTADISTICA,1569
GEOLOGIA ESTRUCTURAL,1572
MECANICA DE FLUIDOS,1441
FUNDAMENTOS DE METALURGIA EXTRACTIVA,1464
FUNDAMENTOS PARA EXPLOTACION D MINAS,1465
PROSPECCION Y EXPLORACION MINERA,1466
MECANICA DE ROCAS,1583
GEOESTADISTICA,1584
GEOTECNIA DE EXCAVACION,2088
EXPLOTACION DE MINAS SUBTERRANEAS,2701
MECANICA APLIC.PROCEDIM.CONSTRUCCION,2702
PREPARACION Y CONCENTRAC.MINERALES,2703
INSTALACIONES MINERO METALUR,1939
ADMINISTRACION APLICADA A LA MINERIA,2807
EXPLOTACION DE MINAS A CIELO ABIERTO,2808
GESTION AMBIENTAL EN MINERIA,2809
HIDRO Y PIROMETALURGIA,2810
ANALISIS EVALUCION PROYECTOS INVERS.,2959
DISEÑO DE OPERACIONES METALURGICAS,2960
INTRODUCCION DISEÑO OPERAC. MINERAS,2961
GESTION DE SEGURIDAD E HIGIENE,2964
DISEÑO DE OPERACIONES MINERAS,2965
VENTILACION,0914
TEMAS SELECTOS,0948
HIDROGEOLOGIA,1088
YACIMIENT MINERALS TECNIC ANALITICAS,2099
CIERRE DE OPERACIONES MINERAS,3091
DEPOSITOS DE RESIDUOS MINEROS,3092
FENOMENOS INTERFACIALES,3093
MINERALES NO METALICOS,3094
MOLIENDA FINA Y ULTRAFINA,3095
VOLADURA DE ROCAS,3097
QUIMICA,1123
ESTRUCTURA DATOS Y ALGORITMOS I,1227
MODELOS DE PROGRAMACION ORIENT.OBJET,1332
TERMODINAMICA,1437
COSTOS Y EVALUACION DE PROYECTOS,0944
ELECTRICIDAD Y MAGNETISMO,1414
ANALISIS DE SISTEMAS Y SEÑALES,1443
DINAMICA DE SISTEMAS FISICOS,0129
ANALISIS DE CIRCUITOS ELECTRICOS,1592
ESTADISTICA ING.ELECTRICA ELECTRONIC,1593
FISICA DE SEMICONDUCTORES,1594
ENERGIA E IMPACTO AMBIENTAL,1624
ACUSTICA Y OPTICA,1780
TEORIA ELECTROMAGNETICA,0879
DISPOSITIVOS-CIRCUITOS ELECTRONICOS,1618
FUNDAMENTOS DE CONTROL,1997
MAQUINAS ELECTRICAS I,1998
MEDICION E INSTRUMENTACION,0558
DISEÑO DIGITAL,1617
AMPLIFICADORES ELECTRONICOS,1723
SISTEMAS ELECTRICOS POTEN.I,1936
SISTEMAS DE COMUNICACIONES ELECTRONI,1999
AUTOMATIZACION,0422
INSTALACIONES ELECTRICAS,0423
CIRCUITOS INTEGRADOS ANALOGICOS,1822
MICROPROCESADORES-MICROCONT.,1937
PROCESAMIENTO DIGITAL DE SEÑALES,2901
SUBESTACIONES ELECTRICAS,1016
PLANTAS GENERADORAS,0627
